Size,Bubble sort,Merge sort,Shell sort,Quick Sort,
900,404529,7713,12279,8713,
900,404459,7663,12457,10016,
1000,498972,8698,10883,9772,
1000,499290,8691,11525,10746,
1000,497355,8691,11768,9370,
1000,499035,8694,11714,10721,
1000,499329,8728,11095,10500,
1000,499422,8730,12615,11150,
1000,498419,8691,11463,9783,
1000,498720,8710,12181,10559,
1000,499380,8702,12475,10414,
1000,499422,8745,12911,10756,
1000,498720,8704,12730,10492,
1000,499065,8703,11136,11397,
1000,497222,8702,11655,9395,
1000,497960,8722,11463,11146,
1000,499200,8705,11973,10372,
1000,499269,8710,12127,10222,
1000,499310,8705,11726,11241,
1000,499347,8694,12002,9737,
1000,498554,8707,11781,9335,
1000,498275,8714,11181,10001,
1000,498680,8717,11982,10686,
1000,498972,8705,12362,10979,
1000,499122,8701,10739,9750,
1000,499035,8715,11066,9451,
1000,498834,8684,11644,10320,
1000,499347,8708,10990,10146,
1000,499310,8693,11682,10326,
1000,497289,8705,11988,10648,
1000,499464,8669,11521,9575,
1000,499269,8730,11126,9989,
1000,499094,8699,12538,9256,
1000,499329,8705,12869,9379,
1000,499269,8704,11302,9374,
1000,499224,8689,11412,9869,
1000,499494,8711,11400,11766,
1000,498419,8702,11508,10438,
1000,499485,8719,11740,9974,
1000,498174,8687,12208,9766,
